hostname,sy_dist,total_planets,st_teff,st_rad,st_mass,potentially_habitable
Kepler-2000,320.588,2,3757.0,0.576,0.581,0
Kepler-2001,776.55,2,5081.0,0.77,0.864,0
Kepler-217,1104.64,1,6341.0,1.76,1.37,0
Kepler-218,656.38,1,5542.0,1.02,1.01,0
Kepler-245,861.527,1,5174.0,0.8,0.86,0
Kepler-255,1052.53,1,5431.0,0.86,0.9,0
Kepler-27,1044.36,1,5251.0,0.817,0.926,0
Kepler-271,404.542,1,5555.0,0.87,0.9,0
Kepler-279,1037.4,1,6689.45,1.43,1.164,0
Kepler-281,1745.45,1,5717.0,0.884,0.984,0
Kepler-289,704.438,1,5990.0,0.985,1.061,1
Kepler-290,694.627,1,5142.0,0.755,0.84,0
Kepler-297,692.14,1,5618.0,0.897,0.846,0
Kepler-304,434.684,1,4817.0,0.73,0.8,0
Kepler-305,868.477,1,4974.0,0.827279,0.82,0
Kepler-311,778.654,1,5903.0,1.156,0.974,0
Kepler-324,501.574,2,5191.0,0.826,0.844,0
Kepler-342,781.611,1,6366.0,1.34,1.26,0
Kepler-347,1298.88,1,5592.0,1.451,1.0,0
Kepler-351,1083.91,1,5225.0,0.78,0.81,0
Kepler-352,252.733,1,5208.0,0.772,0.796,0
Kepler-381,267.323,1,6197.0,2.188,1.198,0
Kepler-385,1432.61,1,5829.0,1.157,1.05,0
Kepler-394,1058.72,1,6398.0,1.101,1.141,0
Kepler-398,177.355,1,4557.0,0.67,0.72,0
Kepler-401,965.56,1,6184.0,1.29,1.17,0
Kepler-403,840.269,1,6209.0,1.45,1.25,0
Kepler-411,153.676,2,4974.0,0.82,0.87,0
Kepler-416,690.819,1,5670.0,1.022,0.949,0
Kepler-418,1002.53,1,5822.0,1.081,0.957,0
Kepler-430,917.477,2,5884.0,1.485,1.166,0
Kepler-431,486.546,3,6004.0,1.092,1.071,0
Kepler-432,848.023,1,4995.0,4.06,1.32,0
Kepler-433,1878.31,1,6360.0,2.26,1.46,0
Kepler-434,1222.54,1,5977.0,1.38,1.198,0
Kepler-435,1418.77,1,6161.0,3.21,1.538,0
Kepler-436,588.867,2,4651.0,0.697,0.729,0
Kepler-437,304.0,1,4551.0,0.68,0.707,1
Kepler-438,195.94287175,1,3748.0,0.52,0.544,1
Kepler-439,757.048,1,5431.0,0.866,0.884,1
Kepler-440,301.03,1,4134.0,0.559,0.575,0
Kepler-441,268.003,1,4340.0,0.55,0.572,0
Kepler-442,365.965,1,4402.0,0.598,0.609,1
Kepler-443,802.271,1,4723.0,0.706,0.738,0
Kepler-444,36.4396,5,5046.0,0.752,0.758,0
Kepler-445,127.201,3,3157.0,0.21,0.18,0
Kepler-446,96.339,3,3359.0,0.24,0.22,0
Kepler-447,268.041,1,5493.0,1.05,1.0,0
Kepler-449,241.949,2,5649.18,1.467,1.02,0
Kepler-450,455.982,3,6197.21,1.64162,1.19,0
Kepler-452,551.727,1,5757.0,1.11,1.037,1
Kepler-454,230.869,1,5687.0,1.066,1.03,0
Kepler-461,692.158,1,5634.0,0.91,0.98,0
Kepler-462,596.625,2,7500.0,1.57,1.59,0
Kepler-463,394.804,1,5661.0,0.9,0.87,0
Kepler-464,667.604,1,5933.0,1.59,1.21,0
Kepler-465,553.077,1,6310.0,1.29,1.23,0
Kepler-466,530.122,2,5927.0,1.05,1.04,0
Kepler-467,466.265,1,5809.0,1.37,1.05,0
Kepler-468,442.871,1,5498.0,0.87,0.96,0
Kepler-471,1249.41,1,6733.0,1.8,1.49,0
Kepler-472,306.602,1,4996.0,0.78,0.85,0
Kepler-473,905.937,1,5816.0,1.34,1.06,0
Kepler-474,841.496,1,5785.0,1.08,0.99,0
Kepler-475,280.069,1,5009.0,0.79,0.86,0
Kepler-476,813.535,1,5837.0,1.09,1.03,0
Kepler-477,367.0,1,5240.0,0.79,0.87,0
Kepler-478,420.0,1,5210.0,0.8,0.85,0
Kepler-479,344.901,1,5247.0,0.81,0.86,0
Kepler-480,847.508,1,6322.0,1.34,1.25,0
Kepler-481,813.724,1,5802.0,1.09,1.01,0
Kepler-482,313.068,1,4871.0,0.72,0.75,0
Kepler-483,860.355,1,6346.0,1.47,1.28,0
Kepler-484,382.136,1,5668.0,0.87,0.96,0
