pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_rade,pl_bmasse,pl_eqt,pl_insol,pl_orbsmax,pl_dens,st_teff,st_rad,st_mass,sy_dist,sy_pnum,sy_snum
Kepler-466 b,Kepler-466,Transit,2016,51.07926307,2.85,8.5,503.0,12.5,0.26769,2.02,5927.0,1.05,1.04,530.122,2,1
Kepler-403 d,Kepler-403,Transit,2016,13.61159129,1.42,2.6,958.0,285.295,0.12178,4.99,6209.0,1.45,1.25,840.269,3,1
Kepler-694 b,Kepler-694,Transit,2016,6.365841612,2.8,8.25,914.0,206.438,0.0659,2.07,5700.0,0.95,0.97,1023.06,1,1
Kepler-1623 b,Kepler-1623,Transit,2016,4.36128348,1.31,2.27,1000.0,243.08,0.0518,5.55,5772.0,1.0,1.0,837.481,1,1
Kepler-1444 b,Kepler-1444,Transit,2016,33.42035034,2.18,5.39,581.0,25.942,0.20906,2.86,5810.0,1.05,1.03,319.675,1,1
Kepler-1561 b,Kepler-1561,Transit,2016,1.005207007,1.09,1.32,1682.0,2364.807,0.0194,5.6,5957.0,1.11,1.07,839.076,1,1
Kepler-1601 b,Kepler-1601,Transit,2016,2.20921951,0.82,0.477,1507.0,999.752,0.03281,4.75,5869.0,1.07,1.04,644.456,1,1
Kepler-631 b,Kepler-631,Transit,2016,17.97979059,2.9,8.75,828.0,94.137,0.14017,1.97,6185.0,1.33,1.24,761.966,1,1
Kepler-632 b,Kepler-632,Transit,2016,30.99660733,2.21,5.52,500.0,14.72,0.1885,2.81,5322.0,0.84,0.91,349.0,1,1
Kepler-1441 b,Kepler-1441,Transit,2016,39.4419839,1.31,2.27,682.0,33.046,0.2346,5.55,5802.0,1.0,1.0,1110.48,1,1
Kepler-683 b,Kepler-683,Transit,2016,2.539183179,1.97,4.54,1332.0,702.281,0.0355,3.26,5703.0,0.95,0.96,1023.07,1,1
Kepler-597 b,Kepler-597,Transit,2016,13.02365861,2.37,6.21,743.0,76.375,0.10916,2.56,5683.0,0.95,0.97,663.418,1,1
Kepler-1603 b,Kepler-1603,Transit,2016,2.27163926,1.29,2.21,1522.0,1269.46,0.0351,5.66,6241.0,1.31,1.21,2712.58,1,1
Kepler-1398 c,Kepler-1398,Transit,2016,4.13827595,1.03,1.08,1324.0,738.183,0.05087,5.43,6126.0,1.18,1.13,852.204,2,1
Kepler-1398 b,Kepler-1398,Transit,2016,2.78815679,0.9,0.666,1510.0,1249.488,0.03909,5.02,6126.0,1.18,1.13,852.204,2,1
Kepler-1399 b,Kepler-1399,Transit,2016,1.638653058,1.25,2.1,1610.0,1707.252,0.0276,5.91,5735.0,0.96,0.97,1385.7,1,1
Kepler-549 c,Kepler-549,Transit,2016,117.040498,2.93,8.91,349.0,2.51,0.45332,1.95,5360.0,0.84,0.88,635.145,3,1
Kepler-684 b,Kepler-684,Transit,2016,6.770302008,3.36,11.2,812.0,102.87,0.064,1.62,5493.0,0.86,0.89,1731.27,1,1
Kepler-1566 b,Kepler-1566,Transit,2016,0.539915238,0.79,0.418,1871.0,2340.984,0.01198,4.66,5254.0,0.81,0.84,466.586,1,1
Kepler-1606 b,Kepler-1606,Transit,2016,196.435224,2.07,4.94,324.0,1.29,0.6421,3.06,5422.0,0.86,0.9,831.287,1,1
Kepler-1400 b,Kepler-1400,Transit,2016,9.06689421,1.62,3.26,725.0,44.517,0.0771,4.21,5044.0,0.78,0.83,752.237,1,1
Kepler-1402 b,Kepler-1402,Transit,2016,2.03387914,0.76,0.363,1789.0,2491.119,0.0322,4.54,5416.0,0.87,0.9,1493.64,1,1
Kepler-543 b,Kepler-543,Transit,2016,13.89961966,2.5,6.8,521.0,23.081,0.1023,2.39,4671.0,0.67,0.7,221.802,1,1
Kepler-1607 b,Kepler-1607,Transit,2016,13.6473676,0.92,0.721,913.0,449.632,0.11978,5.09,6116.0,1.21,1.14,1286.1,1,1
Kepler-1608 b,Kepler-1608,Transit,2016,16.4735686,1.73,3.64,612.0,33.22,0.1126,3.86,4992.0,0.72,0.75,832.0,1,1
Kepler-1403 b,Kepler-1403,Transit,2016,5.19492202,2.14,5.22,1238.0,699.644,0.064,2.93,6060.0,1.15,1.11,2163.9,1,1
